"Week.Ending","SKU","Dollars","Units","ARP"
2013-01-05,1001,2954.64,2841,1.04
2013-01-05,1002,3508.53,3279,1.07
2013-01-05,1003,148115.7,74430,1.99
2013-01-05,1004,2954.64,2841,1.04
2013-01-05,1005,1329.51,1461,0.91
2013-01-05,1006,10728.93,8317,1.29
2013-01-05,1007,1046.61,1203,0.87
2013-01-05,1009,161951.48,80174,2.02
2013-01-05,1010,1647.82,1753,0.94
2013-01-05,1011,337.68,469,0.72
2013-01-05,1013,8350.47,6789,1.23
2013-01-05,1014,37872029.58,7544229,5.02
2013-01-05,1015,3272061.06,979659,3.34
2013-01-05,1016,238.68,351,0.68
2013-01-05,1018,135067.52,68912,1.96
2013-01-05,1019,4133.8,3758,1.1
2013-01-05,1020,160630369.47,25137773,6.39
2013-01-05,1022,5408238.99,1489873,3.63
2013-01-05,1023,0.22,1,0.22
2013-01-05,1025,1046.61,1203,0.87
2013-01-05,1027,67494,38568,1.75
2013-01-05,1028,20107.23,14061,1.43
2013-01-05,1030,660584.96,258041,2.56
2013-01-05,1031,624,780,0.8
2013-01-05,1032,820.68,977,0.84
2013-01-05,1033,14915.12,10967,1.36
2013-01-05,1034,0,0,0
2013-01-05,1035,1662011.56,557722,2.98
2013-01-05,1038,9.6,24,0.4
2013-01-05,1039,11200228.3,2731763,4.1
2013-01-05,1044,4133.8,3758,1.1
2013-01-05,1045,1.45,5,0.29
2013-01-05,1046,0,0,0.1
2013-01-05,1047,95067.8,51388,1.85
2013-01-05,1048,83341228.41,14544717,5.73
2013-01-05,1049,0,0,0.03
2013-01-05,1050,1.45,5,0.29
2013-01-05,1051,148115.7,74430,1.99
2013-01-05,1052,356139.63,154173,2.31
2013-01-05,1053,242578.8,112305,2.16
2013-01-05,1054,264671036.78,38137037,6.94
2013-01-05,1055,111260.2,58558,1.9
2013-01-05,1056,2016.63,2079,0.97
2013-01-05,1057,0.22,1,0.22
2013-01-05,1058,2016.63,2079,0.97
2013-01-05,1059,13446.9,10035,1.34
2013-01-05,1061,141851.16,71642,1.98
2013-01-05,1062,11111258.01,2716689,4.09
2013-01-05,1063,217445592,32357975,6.72
2013-01-05,1065,1719471,573157,3
2013-01-05,1068,1329.51,1461,0.91
2013-01-05,1069,17890156.3,4038410,4.43
2013-01-05,1070,36475.88,23086,1.58
2013-01-05,1071,111260.2,58558,1.9
2013-01-05,1072,5566,4840,1.15
2013-01-05,1073,37577349.69,7500469,5.01
2013-01-05,1074,1980125.44,644992,3.07
2013-01-05,1075,820.68,977,0.84
2013-01-05,1076,465.12,612,0.76
2013-01-05,1077,0,0,0.03
2013-01-05,1078,89873.13,49111,1.83
2013-01-05,1080,378657.62,162514,2.33
2013-01-05,1081,351237126.24,48246858,7.28
2013-01-05,1082,45516.56,27754,1.64
2013-01-05,1083,390237.12,166768,2.34
2013-01-05,1084,20.25,45,0.45
2013-01-05,1086,2465.41,2441,1.01
2013-01-05,1087,5408238.99,1489873,3.63
2013-01-05,1088,820.68,977,0.84
2013-01-05,1090,8425615.99,2154889,3.91
2013-01-05,1091,55621.28,32912,1.69
2013-01-05,1092,1275382467.04,141394952,9.02
2013-01-05,1094,20108309.32,4448741,4.52
2013-01-05,1095,1611165.6,542480,2.97
2013-01-05,1096,0,0,0.1
2013-01-05,1098,872910.84,325713,2.68
